"Designator","Qty","PartNumber","Package","Value","Side","Manufacturer","Supplier","Supplier SKU","Product URL","Availability","Checked Date","Notes"
"C16","1","CL10B104KB8NNNC","Observed_C16","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"C19","1","CL10B105KA8NNNC","Observed_C19","1uF 25V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C29936","https://www.lcsc.com/product-detail/C29936.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 10; reel 4,000. Exact Samsung MPN."
"C22","1","CL10B105KA8NNNC","Observed_C22","1uF 25V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C29936","https://www.lcsc.com/product-detail/C29936.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 10; reel 4,000. Exact Samsung MPN."
"C23","1","CL10B105KA8NNNC","Observed_C23","1uF 25V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C29936","https://www.lcsc.com/product-detail/C29936.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 10; reel 4,000. Exact Samsung MPN."
"D1","1","BAT54C,215","Observed_D1","BAT54C dual Schottky common cathode","Top","Nexperia","LCSC","C37704","https://www.lcsc.com/product-detail/C37704.html","Listing reports in stock; reconfirm at quote.","2026-09-23","MOQ/multiple 50. Exact Nexperia common-cathode part."
"IC1","1","TPS22919DCKR","Observed_IC1","1.6-5.5 V load switch","Top","Texas Instruments","DigiKey","296-TPS22919DCKRCT-ND","https://www.digikey.com/en/products/detail/texas-instruments/TPS22919DCKR/10434801","Listing reports in stock; reconfirm at quote.","2026-09-23","No dedicated local input bypass. Qualify accessory load. Cut-tape ordering code. Full reel: 296-TPS22919DCKRTR-ND."
"J_D0","1","SM03B-SRSS-TB(LF)(SN)","Observed_J_D0","D0","Top","JST Sales America Inc.","DigiKey","455-SM03B-SRSS-TBCT-ND","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM03B-SRSS-TB/926709","In stock: 10,574 shown; confirm at quote","2026-09-23","Cut tape. Supplier shortens (LF)(SN) in display; order the full BOM MPN."
"J_EXP","1","SM04B-SRSS-TB(LF)(SN)","Observed_J_EXP","EXP","Top","JST Sales America Inc.","DigiKey","455-SM04B-SRSS-TBCT-ND","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710","In stock: 154,520 shown; confirm at quote","2026-09-23","Cut tape. Supplier shortens (LF)(SN) in display; order the full BOM MPN."
"J_HDD","1","SM04B-SRSS-TB(LF)(SN)","Observed_J_HDD","HDD","Top","JST Sales America Inc.","DigiKey","455-SM04B-SRSS-TBCT-ND","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710","In stock: 154,520 shown; confirm at quote","2026-09-23","Cut tape. Supplier shortens (LF)(SN) in display; order the full BOM MPN."
"J_LCD","1","SM06B-SRSS-TB(LF)(SN)","Observed_J_LCD","LCD","Top","JST Sales America Inc.","DigiKey","455-SM06B-SRSS-TBCT-ND","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM06B-SRSS-TB-LF-SN/926712","In stock: 43,699 shown; confirm at quote","2026-09-23","Cut tape. Supplier shortens (LF)(SN) in display; order the full BOM MPN."
"J_LPC","1","M20-7830842","Observed_J_LPC","LPC 2x8 underside","Bottom","Harwin Inc.","DigiKey","952-1819-ND","https://www.digikey.com/en/products/detail/harwin-inc/M20-7830842/3727786","In stock: 3,737 shown; confirm at quote","2026-09-23","Bottom through-hole socket. Use footprint anchor for placement. Tube packaging. Exact 2x8 through-hole socket."
"J_RGB","1","SM04B-SRSS-TB(LF)(SN)","Observed_J_RGB","RGB","Top","JST Sales America Inc.","DigiKey","455-SM04B-SRSS-TBCT-ND","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710","In stock: 154,520 shown; confirm at quote","2026-09-23","Cut tape. Supplier shortens (LF)(SN) in display; order the full BOM MPN."
"J_UART","1","SM04B-SRSS-TB(LF)(SN)","Observed_J_UART","UART","Top","JST Sales America Inc.","DigiKey","455-SM04B-SRSS-TBCT-ND","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710","In stock: 154,520 shown; confirm at quote","2026-09-23","Cut tape. Supplier shortens (LF)(SN) in display; order the full BOM MPN."
"J_USB","1","TYPEC-304-BCP16","Observed_J_USB","USB-C","Top","XUNPU","LCSC","C720629","https://www.lcsc.com/product-detail/USB-Connectors_XUNPU-TYPEC-304-BCP16_C720629.html","In stock: 16,685 shown; confirm at quote","2026-09-23","Confirm connector fit for the specified 1.6 mm board. MOQ/multiple 5. Keep BCP16 variant; board-fit qualification still applies."
"J_XB","1","SM04B-SRSS-TB(LF)(SN)","Observed_J_XB","XB","Top","JST Sales America Inc.","DigiKey","455-SM04B-SRSS-TBCT-ND","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710","In stock: 154,520 shown; confirm at quote","2026-09-23","Cut tape. Supplier shortens (LF)(SN) in display; order the full BOM MPN."
"LED1","1","WS2812B-MINI-V6","Observed_LED1","3535 addressable RGB, 12 mA/color","Top","Worldsemi","LCSC","C52941386","https://www.lcsc.com/product-detail/C52941386.html","In stock: 21,165 shown; confirm at quote","2026-09-23","3535 package. DIN logic margin requires prototype qualification. MOQ/multiple 5. Keep MINI-V6 version; other variants have different timing."
"LED2","1","LTST-C190TBKT","Observed_LED2","Blue indicator LED 0603","Top","Lite-On Inc.","DigiKey","160-1646-1-ND","https://www.digikey.com/en/products/detail/liteon/LTST-C190TBKT/388529","In stock: 406,342 shown; confirm at quote","2026-09-23","Cut tape. Exact unsuffixed MPN; no -5A, -TH or -HM substitution."
"P_N1","1","CL10B105KA8NNNC","Observed_P_N1","1uF 25V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C29936","https://www.lcsc.com/product-detail/C29936.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 10; reel 4,000. Exact Samsung MPN."
"P_N2","1","CL10B104KB8NNNC","Observed_P_N2","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"R1","1","RC0603FR-071KL","Observed_R1","1k 1% 0.1W","Top","YAGEO","DigiKey","311-1.00KHRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-071KL/729790","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 311-1.00KHRTR-ND."
"R2","1","RC0603FR-07470RL","Observed_R2","470 1% 0.1W","Top","YAGEO","DigiKey","311-470HRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-07470RL/727256","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 311-470HRTR-ND."
"R3","1","RC0603FR-07470RL","Observed_R3","470 1% 0.1W","Top","YAGEO","DigiKey","311-470HRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-07470RL/727256","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 311-470HRTR-ND."
"R4","1","RC0603FR-075K1L","Observed_R4","5.1k 1% 0.1W","Top","YAGEO","LCSC","C105580","https://www.lcsc.com/product-detail/C105580.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 5,000. Exact YAGEO MPN."
"R5","1","RC0603FR-071KL","Observed_R5","1k 1% 0.1W","Top","YAGEO","DigiKey","311-1.00KHRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-071KL/729790","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 311-1.00KHRTR-ND."
"R6","1","RC0603FR-07330RL","Observed_R6","330 1% 0.1W","Top","YAGEO","DigiKey","311-330HRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-07330RL/727162","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 311-330HRTR-ND."
"R7","1","RC0603FR-0727RL","Observed_R7","27R 1% 0.1W","Top","YAGEO","DigiKey","311-27.0HRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-0727RL/727099","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 311-27.0HRTR-ND."
"R8","1","RC0603FR-0727RL","Observed_R8","27R 1% 0.1W","Top","YAGEO","DigiKey","311-27.0HRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-0727RL/727099","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 311-27.0HRTR-ND."
"R9","1","RC0603FR-074K7L","Observed_R9","4.7k 1% 0.1W","Top","YAGEO","DigiKey","311-4.70KHRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-074K7L/730159","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 311-4.70KHRTR-ND."
"R10","1","RC0603FR-075K1L","Observed_R10","5.1k 1% 0.1W","Top","YAGEO","LCSC","C105580","https://www.lcsc.com/product-detail/C105580.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 5,000. Exact YAGEO MPN."
"R11","1","RC0603FR-074K7L","Observed_R11","4.7k 1% 0.1W","Top","YAGEO","DigiKey","311-4.70KHRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-074K7L/730159","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 311-4.70KHRTR-ND."
"RN","1","MNR04M0APJ101","Observed_RN","4x100R","Top","ROHM","CoreStaff (Zaikostore)","pr12455304 (catalog product ID)","https://www.zaikostore.com/zaikostore/stockDetail?productIdOfHitotsukara=pr12455304&productName_forFind=MNR04M0APJ101&typeStock_forFind=all","In stock on supplier page; confirm exact MPN and order identifier at quote","2026-09-23","Supplier ID is catalog ID, not a separate SKU. Confirm exact MPN/ordering code at quote."
"SW_BOOT","1","ST-1185S","Observed_SW_BOOT","BOOT / ST-1185S","Top","RI SHENG","LCSC","C589191","https://www.lcsc.com/product-detail/tactile-switches_ri-sheng-st-1185s_C589191.html","Listed; not available now. Supplier confirmation required","2026-09-23","Unavailable at listed source; obtain an exact-part quote before assembly."
"U_ACT","1","BC857BS,115","Observed_U_ACT","Dual PNP activity driver","Top","Nexperia","Mouser","771-BC857BS-T/R","https://www.mouser.com/ProductDetail/Nexperia/BC857BS115?qs=me8TqzrmIYUTVIx%252BZhNjFA%3D%3D","Listing reports in stock; reconfirm at quote.","2026-09-23","Selected PNP replacement. Original polarity remains unresolved. Select cut tape for small quantities. Request the exact Nexperia MPN."
"U1","1","RP2040","Observed_U1","RP2040","Top","Raspberry Pi","LCSC","C2040","https://www.lcsc.com/product-detail/_Raspberry-Pi-RP2040_C2040.html","Listing reports in stock; reconfirm at quote.","2026-09-23","Original marking: RP2-B2 / PHN281.00. RP2-B2 identifies RP2040 B2 silicon; PHN281.00 is an additional package marking, not the ordering MPN. Order RP2040."
"U2","1","W25Q128JVSIQ","Observed_U2","W25Q128JVSIQ","Top","Winbond Electronics","DigiKey","W25Q128JVSIQ-ND","https://www.digikey.com/en/products/detail/winbond-electronics/W25Q128JVSIQ/W25Q128JVSIQ-ND/5803943","Listing reports in stock; reconfirm at quote.","2026-09-23","Tube packaging. Exact SOIC-8, 208-mil width variant."
"VREG","1","ME6215C33M5G","Observed_VREG","3.3 V enabled LDO","Top","MICRONE","LCSC","C84119","https://www.lcsc.com/product-detail/C84119.html","Listing reports in stock; reconfirm at quote.","2026-09-23","Selected YD-reference LDO. Original E3Ya identity is unconfirmed. MOQ/multiple 5. Exact 3.3 V SOT-23-5 variant."
"Y1","1","ABM8-272-T3","Observed_Y1","12MHz","Top","Abracon LLC","DigiKey","535-ABM8-272-T3CT-ND","https://www.digikey.com/en/products/detail/abracon-llc/ABM8-272-T3/22472366","In stock: 28,705 shown; confirm at quote","2026-09-23","Cut tape. Exact 12 MHz, 10 pF load variant."
